"Story","Title","Result","Date","Stability","Duration (s)"
"Login to Orange HRM","Login to the Application Successfully","SUCCESS","2019-01-28T10:55:08.897+08:00[Asia/Singapore]","0.0","8.13"
"Login to Orange HRM","Login to the Application with Invalid UserName","SUCCESS","2019-01-28T10:55:17.026+08:00[Asia/Singapore]","0.0","7.29"
"Login to Orange HRM","Login to the Application with Invalid Password","SUCCESS","2019-01-28T10:55:24.312+08:00[Asia/Singapore]","0.0","7.46"
"Login to Orange HRM","Login to the Application with Empty UserName And Empty Password","SUCCESS","2019-01-28T10:55:31.774+08:00[Asia/Singapore]","0.0","8.16"
